N;NAME;COUNTRY;BIRTHDAY;GENDER;TITLE;RATING;IDFIDE;ELOFIDE;KFIDE;IDNAT;ELONAT;KNAT;CLUB;INFO
1;Hahna Le;VIC;01.01.1987;m;CM;2345;93849384;2345;0;0;1987;0;;
2;John Doe;VIE;12.12.1837;m;;1987;123456;1987;0;0;0;0;;
3;Leona Devinci;THL;09.09.1999;m;;1675;12345;1675;0;0;0;0;;
4;Truong Nguyen;VIC;01.01.1990;m;;1234;1456343;1234;0;0;1000;0;;
5;Luis Vinh;VIE;01.01.1987;m;;0;0;0;0;938999;987;0;;
6;Janet Christiane;AUS;0000.00.00;m;;0;0;0;0;0;0;0;;
7;Robert Smith;USA;05.05.1995;m;FM;2450;23456789;2450;0;0;1995;0;;
8;Sophia Johnson;ENG;10.10.1988;f;WGM;2350;98765432;2350;0;0;1988;0;;
9;David Lee;CAN;03.03.1992;m;IM;2300;76543210;2300;0;0;1992;0;;
10;Emily Wilson;AUS;07.07.1997;f;WIM;2250;87654321;2250;0;0;1997;0;;
11;Michael Brown;FRA;11.11.1985;m;CM;2150;65432109;2150;0;0;1985;0;;
12;Sarah Lee;GER;04.04.1990;f;FM;2100;54321098;2100;0;0;1990;0;;
13;Daniel Kim;KOR;06.06.1995;m;IM;2050;43210987;2050;0;0;1995;0;;
14;Linda Davis;NZL;08.08.1987;f;WFM;2000;32109876;2000;0;0;1987;0;;
15;James Miller;RUS;02.02.1991;m;FM;1950;21098765;1950;0;0;1991;0;;
16;Mary Wilson;ITA;01.01.1998;f;WCM;1900;10987654;1900;0;0;1998;0;;
17;William Jones;BRA;12.12.1993;m;IM;1850;98765432;1850;0;0;1993;0;;
18;Jennifer Taylor;MEX;11.11.1997;f;WIM;1800;87654321;1800;0;0;1997;0;;
19;Charles White;ARG;10.10.1990;m;CM;1750;76543210;1750;0;0;1990;0;;
20;Patricia Martinez;COL;09.09.1995;f;WFM;1700;65432109;1700;0;0;1995;0;;
